,hum_ratio,temp,wind_dir,solar_radiation,windspeed,weekday,week
2050-01-01 00:00:00,0.00698662623987443,11.1,290,0,0.0,1.0,52
2050-01-01 01:00:00,0.006439480023201442,8.9,320,0,3.1,1.0,52
2050-01-01 02:00:00,0.006714399452286578,10.0,180,0,0.0,1.0,52
2050-01-01 03:00:00,0.0069395271843990716,10.0,40,0,3.1,1.0,52
2050-01-01 04:00:00,0.00694971798158238,9.4,140,0,4.1,1.0,52
2050-01-01 05:00:00,0.0069466313143574125,9.4,180,0,3.6,1.0,52
2050-01-01 06:00:00,0.00671100842104327,8.9,140,0,3.6,1.0,52
2050-01-01 07:00:00,0.006707205038027922,8.9,110,0,2.6,1.0,52
2050-01-01 08:00:00,0.006705883132525331,8.9,160,8,3.6,1.0,52
2050-01-01 09:00:00,0.007222331718142782,10.0,190,38,5.2,1.0,52
2050-01-01 10:00:00,0.007220374597697234,10.0,210,49,5.7,1.0,52
2050-01-01 11:00:00,0.007202490217371259,10.6,220,80,7.7,1.0,52
2050-01-01 12:00:00,0.0069147560520296325,10.0,200,20,8.2,1.0,52
2050-01-01 13:00:00,0.006687793131943965,10.0,190,63,7.7,1.0,52
2050-01-01 14:00:00,0.006633128881878309,9.4,190,94,9.8,1.0,52
2050-01-01 15:00:00,0.006415253983506927,9.4,180,9,9.3,1.0,52
2050-01-01 16:00:00,0.006413204759598113,9.4,190,1,7.2,1.0,52
2050-01-01 17:00:00,0.006451247311517185,10.0,180,0,9.3,1.0,52
2050-01-01 18:00:00,0.006405020938924298,9.4,170,0,6.7,1.0,52
2050-01-01 19:00:00,0.006404392279296316,9.4,210,0,7.2,1.0,52
2050-01-01 20:00:00,0.0061921992989903704,8.9,230,0,6.7,1.0,52
2050-01-01 21:00:00,0.006193871135723144,8.9,230,0,5.2,1.0,52
2050-01-01 22:00:00,0.006192503202172738,8.9,230,0,4.6,1.0,52
2050-01-01 23:00:00,0.005982445899475214,8.9,230,0,5.2,1.0,52
2050-01-02 00:00:00,0.005081897761813391,6.7,70,0,5.2,1.0,52
2050-01-02 01:00:00,0.005045371240427064,6.1,100,0,3.1,1.0,52
2050-01-02 02:00:00,0.005046359596761589,6.1,90,0,3.6,1.0,52
2050-01-02 03:00:00,0.005039834945892437,5.6,110,0,3.1,1.0,52
2050-01-02 04:00:00,0.005040205120201234,5.6,130,0,3.6,1.0,52
2050-01-02 05:00:00,0.004873805858826948,5.6,180,0,4.6,1.0,52
2050-01-02 06:00:00,0.004873447923120051,5.6,160,0,4.6,1.0,52
2050-01-02 07:00:00,0.004672796255438128,5.0,160,0,4.1,1.0,52
2050-01-02 08:00:00,0.004513496383093648,5.0,140,24,3.6,1.0,52
2050-01-02 09:00:00,0.0043267429509241135,4.4,140,104,3.6,1.0,52
2050-01-02 10:00:00,0.004530132739370704,4.4,150,167,3.1,1.0,52
2050-01-02 11:00:00,0.00452147087939582,3.9,180,111,4.6,1.0,52
2050-01-02 12:00:00,0.004334563709717176,3.3,170,162,2.6,1.0,52
2050-01-02 13:00:00,0.00400254514674001,2.8,170,93,2.6,1.0,52
2050-01-02 14:00:00,0.004004308722190892,2.8,160,51,2.1,1.0,52
2050-01-02 15:00:00,0.0038695031529222606,2.8,190,34,3.1,1.0,52
2050-01-02 16:00:00,0.003871574642988161,1.7,120,8,3.1,1.0,52
2050-01-02 17:00:00,0.003988568270800608,3.9,180,0,3.1,1.0,52
2050-01-02 18:00:00,0.0043291851742667045,5.6,200,0,6.2,1.0,52
2050-01-02 19:00:00,0.0045424900078483476,6.1,210,0,6.2,1.0,52
2050-01-02 20:00:00,0.004678976109442017,6.7,230,0,6.2,1.0,52
2050-01-02 21:00:00,0.004722103911464331,7.2,200,0,6.7,1.0,52
2050-01-02 22:00:00,0.004563937854995512,6.7,190,0,5.2,1.0,52
2050-01-02 23:00:00,0.004566184794776279,6.7,190,0,5.2,1.0,52
2050-01-03 00:00:00,0.004326817869141013,6.7,180,0,4.6,0.0,1
2050-01-03 01:00:00,0.004732563882967006,5.6,200,0,5.2,0.0,1
2050-01-03 02:00:00,0.004566318906682303,5.6,200,0,6.2,0.0,1
2050-01-03 03:00:00,0.004734078553786132,5.6,190,0,6.2,0.0,1
2050-01-03 04:00:00,0.004556923227632867,6.1,190,0,6.7,0.0,1
2050-01-03 05:00:00,0.004556362092102774,6.1,180,0,5.7,0.0,1
2050-01-03 06:00:00,0.0043839834914010676,6.1,170,0,4.6,0.0,1
2050-01-03 07:00:00,0.004211242698700268,6.1,180,0,7.7,0.0,1
2050-01-03 08:00:00,0.004211657686549813,6.1,190,21,8.2,0.0,1
2050-01-03 09:00:00,0.004212695514085089,6.1,180,58,5.7,0.0,1
2050-01-03 10:00:00,0.004180730591384923,5.6,180,126,6.2,0.0,1
2050-01-03 11:00:00,0.004012018484375253,5.6,180,57,5.7,0.0,1
2050-01-03 12:00:00,0.004013105824997108,5.6,140,141,4.1,0.0,1
2050-01-03 13:00:00,0.0039030731370492512,5.6,200,54,6.7,0.0,1
2050-01-03 14:00:00,0.0039041316292760283,5.6,200,93,7.2,0.0,1
2050-01-03 15:00:00,0.0039057686106230833,5.6,190,33,6.7,0.0,1
2050-01-03 16:00:00,0.003906057632195382,5.6,190,4,7.7,0.0,1
2050-01-03 17:00:00,0.0036968749004713535,6.1,190,0,7.2,0.0,1
2050-01-03 18:00:00,0.003733961351042601,6.7,190,0,7.7,0.0,1
2050-01-03 19:00:00,0.0037435392089372184,7.2,200,0,7.2,0.0,1
2050-01-03 20:00:00,0.003872436960980558,7.2,210,0,9.3,0.0,1
2050-01-03 21:00:00,0.004062826842665726,7.2,200,0,7.2,0.0,1
2050-01-03 22:00:00,0.0042517096832173865,7.2,190,0,6.7,0.0,1
2050-01-03 23:00:00,0.0042371696400377665,7.8,190,0,6.2,0.0,1
2050-01-04 00:00:00,0.004067154577581342,7.2,200,0,7.7,0.0,1
2050-01-04 01:00:00,0.0042560291456400865,7.2,200,0,7.7,0.0,1
2050-01-04 02:00:00,0.004257189519430474,7.2,190,0,8.2,0.0,1
2050-01-04 03:00:00,0.004717937053239832,6.7,210,0,7.7,0.0,1
2050-01-04 04:00:00,0.004594935253510916,5.6,210,0,12.9,0.0,1
2050-01-04 05:00:00,0.004596529243148994,5.6,230,0,10.3,0.0,1
2050-01-04 06:00:00,0.00437436773406793,5.6,230,0,7.7,0.0,1
2050-01-04 07:00:00,0.004034929080551551,5.0,230,0,5.7,0.0,1
2050-01-04 08:00:00,0.00391290550382187,3.3,210,36,4.6,0.0,1
2050-01-04 09:00:00,0.00391406926925657,3.3,220,131,5.2,0.0,1
2050-01-04 10:00:00,0.003591917190414813,2.8,230,225,3.6,0.0,1
2050-01-04 11:00:00,0.0037499182087073995,2.2,120,209,2.1,0.0,1
2050-01-04 12:00:00,0.003575712571223012,1.7,240,275,3.1,0.0,1
2050-01-04 13:00:00,0.0035773073029562296,1.7,140,216,3.1,0.0,1
2050-01-04 14:00:00,0.0035898854537043524,1.1,150,141,2.6,0.0,1
2050-01-04 15:00:00,0.0035903302606313213,1.1,150,56,4.1,0.0,1
2050-01-04 16:00:00,0.0035780165293007975,1.7,160,9,5.2,0.0,1
2050-01-04 17:00:00,0.003732379373002188,2.8,150,0,4.6,0.0,1
2050-01-04 18:00:00,0.003936102786870691,3.9,140,0,3.6,0.0,1
2050-01-04 19:00:00,0.004044595792396909,5.6,140,0,4.1,0.0,1
2050-01-04 20:00:00,0.004041442341269068,5.0,150,0,3.6,0.0,1
2050-01-04 21:00:00,0.004273182485622785,7.2,190,0,4.1,0.0,1
2050-01-04 22:00:00,0.004083846919856812,7.2,200,0,4.1,0.0,1
2050-01-04 23:00:00,0.004066999795531282,6.7,200,0,2.1,0.0,1
2050-01-05 00:00:00,0.0039013439611819247,6.1,200,0,2.6,0.0,1
2050-01-05 01:00:00,0.003936449085611529,5.6,140,0,3.1,0.0,1
2050-01-05 02:00:00,0.004044254538091383,5.0,230,0,4.1,0.0,1
2050-01-05 03:00:00,0.004259524692424389,5.0,220,0,5.2,0.0,1
2050-01-05 04:00:00,0.0040848812312064406,4.4,200,0,5.2,0.0,1
2050-01-05 05:00:00,0.004083460595622916,4.4,200,0,5.2,0.0,1
2050-01-05 06:00:00,0.003928490060740726,4.4,200,0,6.2,0.0,1
2050-01-05 07:00:00,0.00408437374789604,4.4,200,0,6.2,0.0,1
2050-01-05 08:00:00,0.004239265883162865,4.4,200,5,7.2,0.0,1
2050-01-05 09:00:00,0.004043271367033416,3.9,200,30,6.2,0.0,1
2050-01-05 10:00:00,0.003944319509800211,3.9,200,55,7.7,0.0,1
2050-01-05 11:00:00,0.003945888490915662,3.9,190,95,7.2,0.0,1
2050-01-05 12:00:00,0.003933571378877293,4.4,190,114,8.8,0.0,1
2050-01-05 13:00:00,0.0039483425243532775,3.9,180,112,6.2,0.0,1
2050-01-05 14:00:00,0.0039354312948323995,4.4,180,78,6.7,0.0,1
2050-01-05 15:00:00,0.003935333360670538,4.4,140,9,5.7,0.0,1
2050-01-05 16:00:00,0.003942482281151281,5.0,170,8,8.2,0.0,1
2050-01-05 17:00:00,0.004049890689131025,5.0,180,0,8.2,0.0,1
2050-01-05 18:00:00,0.004243799805627788,4.4,190,0,7.7,0.0,1
