"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SAN_DIEGO.A,20180101,2359,0.00,,67,48,,,0,0,,,,,,250,,96.0,50.0,
SAN_DIEGO.A,20180102,2359,0.00,,74,52,,,0,0,,,,,,271,,94.0,29.0,
SAN_DIEGO.A,20180103,2359,0.00,,69,53,,,0,0,,,,,,124,,93.0,48.0,
SAN_DIEGO.A,20180104,2359,0.00,,75,52,,,0,0,,,,,,260,,95.0,29.0,
SAN_DIEGO.A,20180105,2359,0.00,,73,54,,,0,0,,,,,,258,,94.0,40.0,
SAN_DIEGO.A,20180106,2359,0.00,,71,57,,,0,0,,,,,,189,,95.0,59.0,
SAN_DIEGO.A,20180107,2359,0.00,,70,54,,,0,0,,,,,,227,,94.0,56.0,
SAN_DIEGO.A,20180108,2359,0.24,,71,59,,,0,0,,,,,,99,,91.0,48.0,
SAN_DIEGO.A,20180109,2359,1.56,,64,55,,,0,0,,,,,,148,,95.0,63.0,
SAN_DIEGO.A,20180110,2359,0.10,,62,52,,,0,0,,,,,,133,,93.0,73.0,
SAN_DIEGO.A,20180111,2359,0.04,,69,49,,,0,0,,,,,,282,,94.0,52.0,
SAN_DIEGO.A,20180112,2359,0.02,,72,49,,,0,0,,,,,,279,,96.0,51.0,
SAN_DIEGO.A,20180113,2359,0.00,,80,54,,,0,0,,,,,,287,,78.0,17.0,
SAN_DIEGO.A,20180114,2359,0.00,,80,55,,,0,0,,,,,,233,,75.0,16.0,
SAN_DIEGO.A,20180115,2359,0.00,,72,53,,,0,0,,,,,,272,,82.0,26.0,
SAN_DIEGO.A,20180116,2359,0.00,,70,50,,,0,0,,,,,,258,,93.0,46.0,
SAN_DIEGO.A,20180117,2359,0.00,,74,52,,,0,0,,,,,,274,,92.0,35.0,
SAN_DIEGO.A,20180118,2359,0.00,,74,52,,,0,0,,,,,,256,,92.0,39.0,
SAN_DIEGO.A,20180119,2359,0.01,,64,54,,,0,0,,,,,,160,,93.0,64.0,
SAN_DIEGO.A,20180120,2359,0.00,,60,49,,,0,0,,,,,,244,,65.0,41.0,
SAN_DIEGO.A,20180121,2359,0.00,,62,44,,,0,0,,,,,,285,,73.0,37.0,
SAN_DIEGO.A,20180122,2359,0.00,,66,44,,,0,0,,,,,,306,,61.0,24.0,
SAN_DIEGO.A,20180123,2359,0.00,,72,45,,,0,0,,,,,,314,,50.0,20.0,
SAN_DIEGO.A,20180124,2359,0.00,,77,48,,,0,0,,,,,,317,,45.0,10.0,
SAN_DIEGO.A,20180125,2359,0.00,,63,44,,,0,0,,,,,,282,,81.0,36.0,
